행정구역,연도,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
광주광역시,2020,1450062 ,633582 ,2.29,717348 ,732714 ,0.98
대전광역시,2020,1463882 ,652783 ,2.24,730699 ,733183 ,1
울산광역시,2020,1136017 ,476893 ,2.38,583708 ,552309 ,1.06
세종특별자치시,2020,355831 ,144275 ,2.47,177568 ,178263 ,1
경기도,2020,13427014 ,5676401 ,2.37,6754469 ,6672545 ,1.01
강원도,2020,1542840 ,736301 ,2.1,776505 ,766335 ,1.01
충청북도,2020,1600837 ,745644 ,2.15,811591 ,789246 ,1.03
충청남도,2020,2121029 ,983153 ,2.16,1082634 ,1038395 ,1.04
전라북도,2020,1804104 ,836660 ,2.16,896874 ,907230 ,0.99
전라남도,2020,1851549 ,893152 ,2.07,930615 ,920934 ,1.01
경상북도,2020,2639422 ,1254662 ,2.1,1329211 ,1310211 ,1.01
경상남도,2020,3340216 ,1484601 ,2.25,1681423 ,1658793 ,1.01
제주특별자치도,2020,674635 ,302033 ,2.23,338609 ,336026 ,1.01
서울특별시,2021,9509458 ,4426007 ,2.15,4618040 ,4891418 ,0.94
부산광역시,2021,3350380 ,1544663 ,2.17,1639044 ,1711336 ,0.96
대구광역시,2021,2385412 ,1063893 ,2.24,1175632 ,1209780 ,0.97
인천광역시,2021,2948375 ,1298647 ,2.27,1476373 ,1472002 ,1
광주광역시,2021,1441611 ,645712 ,2.23,713015 ,728596 ,0.98
대전광역시,2021,1452251 ,664417 ,2.19,724626 ,727625 ,1
울산광역시,2021,1121592 ,482650 ,2.32,576217 ,545375 ,1.06
세종특별자치시,2021,371895 ,153649 ,2.42,185678 ,186217 ,1
경기도,2021,13565450 ,5841995 ,2.32,6827298 ,6738152 ,1.01
강원도,2021,1538492 ,746220 ,2.06,774332 ,764160 ,1.01
충청북도,2021,1597427 ,760672 ,2.1,810672 ,786755 ,1.03
충청남도,2021,2119257 ,1001915 ,2.12,1083366 ,1035891 ,1.05
전라북도,2021,1786855 ,849001 ,2.1,888994 ,897861 ,0.99
전라남도,2021,1832803 ,903108 ,2.03,922221 ,910582 ,1.01
경상북도,2021,2626609 ,1276846 ,2.06,1323661 ,1302948 ,1.02
경상남도,2021,3314183 ,1505971 ,2.2,1668338 ,1645845 ,1.01
